amount,card_name,is_foil,is_pinned,is_signed,set_id,set_code,collector_number,language,condition,comment,added
1,"""Rumors of My Death . . .""",,,,,"UST",,,,,
1,"Abandoned Sarcophagus",,,,,"C20",,,,,
1,"Abandoned Sarcophagus",,,,,"AKR","268",,,,
1,"Abhorrent Overlord",,,,,"THS",,,,,
1,"Aboleth Spawn",,,,,"CLB",,,,,
2,"Abomination of Llanowar",,,,,"KHC",,,,,
3,"Abrade",,,,,"AKR","136",,,,
1,"Abrade",,,,,"VOW",,,,,
1,"Abrupt Decay",,,,,"GK1","57",,,,
1,"Absorb Identity",,,,,"KHM",,,,,
1,"Absorb Vis",,,,,"CN2",,,,,
1,"Abstract Iguanart",,,,,"UND",,,,,
1,"Abundance",,,,,"ZNC",,,,,
1,"Abundance",,,,,"ZNC",,,,,
1,"Abundant Growth",,,,,"EMA","156",,,,
1,"Abundant Growth",,,,,"EMA","156",,,,
1,"Abundant Harvest",,,,,"MH2",,,,,
1,"Abyssal Persecutor",,,,,"IMA",,,,,
1,"Abzan Ascendancy",,,,,"C20",,,,,
1,"Abzan Banner",,,,,"KTK",,,,,
1,"Abzan Charm",,,,,"C20",,,,,
1,"Abzan Charm",,,,,"2X2",,,,,
1,"Abzan Falconer",,,,,"2X2",,,,,
2,"Abzan Falconer",,,,,"2X2",,,,,
1,"Abzan Guide",,,,,"KTK",,,,,
1,"Academic Dispute",,,,,"STX",,,,,
1,"Academy Elite",,,,,"C16",,,,,
1,"Academy Journeymage",,,,,"DOM",,,,,
1,"Academy Rector",,,,,"UDS",,,,,
2,"Academy Ruins",,,,,"2XM",,,,,
1,"Accelerate",,,,,"TOR",,,,,
3,"Access Tunnel",,,,,"STX",,,,,
1,"Accomplished Automaton",,,,,"KLD","191",,,,
1,"Accorder's Shield",,,,,"M14",,,,,
1,"Accursed Horde",,,,,"GN2",,,,,
1,"Accursed Spirit",,,,,"M15",,,,,
1,"Acererak the Archlich",,,,,"AFR",,,,,
5,"Acidic Slime",,,,,"ZNC","59",,,,
1,"Acidic Slime",,,,,"ZNC",,,,,
1,"Acidic Slime",,,,,"ZNC","59",,,,
1,"Acidic Slime",,,,,"C20",,,,,
1,"Acidic Slime",,,,,"ZNC","59",,,,
1,"Acolyte of Affliction",,,,,"THB",,,,,
1,"Acolyte of Bahamut",,,,,"CLB",,,,,
1,"Acolyte's Reward",,,,,"BNG",,,,,
1,"Acornelia, Fashionable Filcher",,,,,"UND",,,,,
1,"Acquire",,,,,"5DN",,,,,
1,"Acquisitions Expert",,,,,"ZNR",,,,,
3,"Acrobatic Maneuver",,,,,"KLD",,,,,
2,"Act of Heroism",,,,,"A25",,,,,
4,"Act of Treason",,,,,"JMP",,,,,
4,"Ad Nauseam",,,,,"2XM",,,,,
1,"Adamant Will",,,,,"VOW",,,,,
1,"Adanto Vanguard",,,,,"XLN",,,,,
1,"Adaptive Automaton",,,,,"E02","42",,,,
1,"Adarkar Valkyrie",,,,,"C18",,,,,
4,"Adarkar Wastes",,,,,"10E",,,,,
2,"Adeliz, the Cinder Wind",,,,,"DOM",,,,,
1,"Admiral Beckett Brass",,,,,"XLN",,,,,
1,"Admonition Angel",,,,,"ZNC",,,,,
1,"Adorable Kitten",,,,,"UND",,,,,
1,"Adorable Kitten",,,,,"UND",,,,,
1,"Adorned Pouncer",,,,,"HOU",,,,,
1,"Adriana, Captain of the Guard",,,,,"C20",,,,,
1,"Adrix and Nev, Twincasters",,,,,"C21",,,,,
2,"Adult Gold Dragon",,,,,"AFR",,,,,
1,"Advent of the Wurm",,,,,"GK1",,,,,
4,"Adventurous Impulse",,,,,"IKO",,,,,
1,"Aegar, the Freezing Flame",,,,,"KHM",,,,,
1,"Aegis Angel",,,,,"E01",,,,,
1,"Aegis of the Gods",,,,,"JOU",,,,,
1,"Aeon Chronicler",,,,,"C16","82",,,,
1,"Aeon Engine",,,,,"C19",,,,,
1,"Aerial Extortionist",,,,,"NCC","11",,,,
1,"Aerial Responder",,,,,"C20",,,,,
1,"Aerial Responder",,,,,"C20",,,,,
1,"Aerie Mystics",,,,,"CMA",,,,,
1,"Aesi, Tyrant of Gyre Strait",,,,,"CMR",,,,,
1,"Aether Gale",,,,,"CLB",,,,,
1,"Aether Gale",,,,,"C18","80",,,,
1,"Aether Helix",,,,,"STX",,,,,
2,"Aether Hub",,,,,"KLD",,,,,
1,"Aether Snap",,,,,"NCC",,,,,
1,"Aether Spellbomb",,,,,"JMP",,,,,
2,"Aether Tradewinds",,,,,"KLD",,,,,
2,"Aether Vial",,,,,"2X2",,,,,
1,"Aetherflux Reservoir",,,,,"KLD",,,,,
1,"Aetherize",,,,,"ZNC",,,,,
1,"Aethermage's Touch",,,,,"2X2",,,,,
1,"Aethersnipe",,,,,"2X2",,,,,
1,"Aethersphere Harvester",,,,,"AER",,,,,
1,"Aetherspouts",,,,,"MIC",,,,,
1,"Agadeem Occultist",,,,,"WWK",,,,,
1,"Agadeem's Awakening // Agadeem, the Undercrypt",,,,,"ZNR",,,,,
1,"Ageless Entity",,,,,"C21",,,,,
1,"Agent of Acquisitions",,,,,"CNS",,,,,
1,"Agent of Treachery",,,,,"M20",,,,,
1,"Aggressive Mammoth",,,,,"M20",,,,,
1,"Aggressive Mining",,,,,"M15",,,,,
1,"Aggressive Urge",,,,,"JMP",,,,,
1,"Agitator Ant",,,,,"C20",,,,,
3,"Agonizing Remorse",,,,,"THB",,,,,
1,"Agony Warp",,,,,"2X2",,,,,
1,"Agrus Kos, Wojek Veteran",,,,,"GK1",,,,,
1,"Ahn-Crop Champion",,,,,"AKR","226",,,,
1,"Ahn-Crop Invader",,,,,"WAR",,,,,
3,"Aid the Fallen",,,,,"WAR",,,,,
2,"Aim High",,,,,"BBD",,,,,
3,"Ainok Survivalist",,,,,"C19",,,,,
1,"Air Servant",,,,,"W16",,,,,
1,"Air-Cult Elemental",,,,,"AFR",,,,,
1,"Ajani Unyielding",,,,,"C20",,,,,
1,"Ajani, Adversary of Tyrants",,,,,"M19",,,,,
1,"Ajani, Strength of the Pride",,,,,"M20",,,,,
1,"Ajani, the Greathearted",,,,,"WAR",,,,,
1,"Ajani's Chosen",,,,,"JMP",,,,,
1,"Ajani's Presence",,,,,"JOU",,,,,
3,"Ajani's Pridemate",,,,,"WAR","4",,,,
1,"Ajani's Welcome",,,,,"M19",,,,,
1,"Akim, the Soaring Wind",,,,,"C20",,,,,
1,"Akoum Hellhound",,,,,"ZNR",,,,,
4,"Akoum Refuge",,,,,"C19",,,,,
1,"Akoum Warrior // Akoum Teeth",,,,,"ZNR",,,,,
3,"Akroan Crusader",,,,,"UMA",,,,,
2,"Akroan Hoplite",,,,,"CN2",,,,,
1,"Akroan Horse",,,,,"C16",,,,,
1,"Akroan Sergeant",,,,,"ORI",,,,,
1,"Akroma, Angel of Fury",,,,,"A25","119",,,,
1,"Akroma, Angel of Wrath",,,,,"C20",,,,,
1,"Akroma, Angel of Wrath",,,,,"C20",,,,,
1,"Akroma, Vision of Ixidor",,,,,"CMR",,,,,
1,"Akroma's Memorial",,,,,"TSR",,,,,
2,"Akroma's Vengeance",,,,,"C20",,,,,
1,"Akroma's Vengeance",,,,,"C20",,,,,
1,"Alabaster Mage",,,,,"JMP",,,,,
1,"Alaundo the Seer",,,,,"CLB",,,,,
1,"Alchemist's Gift",,,,,"M21",,,,,
1,"Alchemist's Greeting",,,,,"C19",,,,,
2,"Alchemist's Refuge",,,,,"FMB1",,,,,
1,"Alchemist's Vial",,,,,"ORI",,,,,
1,"Aleatory",,,,,"MIR",,,,,
1,"Alela, Artful Provocateur",,,,,"NCC","325",,,,
1,"Alela, Artful Provocateur",,,,,"ELD",,,,,
1,"Alena, Kessig Trapper",,,,,"CMR",,,,,
1,"Alesha, Who Smiles at Death",,,,,"C20",,,,,
1,"Alesha, Who Smiles at Death",,,,,"C20","143",,,,
1,"Alexander Clamilton",,,,,"UND",,,,,
1,"Alexi, Zephyr Mage",,,,,"PCY",,,,,
1,"Alexi's Cloak",,,,,"PCY",,,,,
2,"Alhammarret's Archive",,,,,"C21",,,,,
1,"Alhammarret's Archive",,,,,"ORI","221",,,,
1,"Alharu, Solemn Ritualist",,,,,"CMR",,,,,
1,"Alibou, Ancient Witness",,,,,"C21",,,,,
1,"Alirios, Enraptured",,,,,"THB",,,,,
1,"All Is Dust",,,,,"UMA",,,,,
1,"All Suns' Dawn",,,,,"MM2",,,,,
1,"All That Glitters",,,,,"ELD",,,,,
2,"Allay",,,,,"EXO",,,,,
1,"Alley Evasion",,,,,"AER",,,,,
1,"Allied Assault",,,,,"ZNR",,,,,
4,"Allied Strategies",,,,,"PLS",,,,,
1,"Allosaurus Shepherd",,,,,"2X2",,,,,
2,"Alloy Myr",,,,,"JMP",,,,,
1,"Allure of the Unknown",,,,,"THB",,,,,
1,"Alms of the Vein",,,,,"SOI",,,,,
1,"Alpha Brawl",,,,,"DKA",,,,,
2,"Alpine Meadow",,,,,"KHM",,,,,
1,"Alseid of Life's Bounty",,,,,"THB",,,,,
1,"Altar of Dementia",,,,,"MH1",,,,,
1,"Altar of the Brood",,,,,"KTK",,,,,
2,"Altar of the Pantheon",,,,,"THB",,,,,
2,"Altar's Reap",,,,,"CMA",,,,,
1,"Altered Ego",,,,,"SOI",,,,,
2,"Amaranthine Wall",,,,,"DOM",,,,,
1,"Amareth, the Lustrous",,,,,"CMR",,,,,
1,"Ambassador Oak",,,,,"JMP",,,,,
1,"Ambition's Cost",,,,,"CLB",,,,,
1,"Ambition's Cost",,,,,"KHC","47",,,,
2,"Ambition's Cost",,,,,"C20","129",,,,
1,"Ambition's Cost",,,,,"C20",,,,,
1,"Ambitious Dragonborn",,,,,"CLB",,,,,
1,"Ambuscade Shaman",,,,,"DTK",,,,,
1,"Ambush Viper",,,,,"CMR",,,,,
1,"Aminatou, the Fateshifter",,,,,"C18",,,,,
1,"Aminatou's Augury",,,,,"C18",,,,,
1,"Amorphous Axe",,,,,"CMR",,,,,
1,"Ampryn Tactician",,,,,"ORI",,,,,
1,"Amulet of Vigor",,,,,"FMB1",,,,,
1,"An Offer You Can't Refuse",,,,,"SNC","51",,,,
1,"Anaba Shaman",,,,,"9ED",,,,,
1,"Anara, Wolvid Familiar",,,,,"CMR",,,,,
1,"Anathemancer",,,,,"ARB",,,,,
1,"Anax and Cymede",,,,,"THS",,,,,
1,"Anax, Hardened in the Forge",,,,,"PLIST","123",,,,
1,"Ancestor's Chosen",,,,,"UMA",,,,,
1,"Ancestral Blade",,,,,"M20","3",,,,
1,"Ancestral Blade",,,,,"ELD",,,,,
1,"Ancestral Blade",,,,,"CMR",,,,,
1,"Ancestral Vision",,,,,"TSR",,,,,
1,"Ancient Amphitheater",,,,,"CM2",,,,,
1,"Ancient Animus",,,,,"CMR",,,,,
1,"Ancient Animus",,,,,"DOM","154",,,,
1,"Ancient Bronze Dragon",,,,,"CLB",,,,,
1,"Ancient Craving",,,,,"VOC",,,,,
1,"Ancient Craving",,,,,"VOC",,,,,
1,"Ancient Den",,,,,"C21",,,,,
5,"Ancient Den",,,,,"MRD","278",,,,
1,"Ancient Excavation",,,,,"CM2",,,,,
1,"Ancient Grudge",,,,,"MM3","88",,,,
1,"Ancient Stirrings",,,,,"A25","159",,,,
1,"Ancient Stone Idol",,,,,"C18",,,,,
1,"Ancient Tomb",,,,,"UMA",,,,,
1,"Angel of Despair",,,,,"GPT",,,,,
1,"Angel of Destiny",,,,,"ZNR",,,,,
1,"Angel of Finality",,,,,"C20",,,,,
1,"Angel of Finality",,,,,"C20","75",,,,
1,"Angel of Finality",,,,,"KHC","17",,,,
1,"Angel of Finality",,,,,"KHC","17",,,,
1,"Angel of Sanctions",,,,,"AKR","1",,,,
1,"Angel of Serenity",,,,,"CM2","16",,,,
1,"Angel of Serenity",,,,,"KHC","18",,,,
1,"Angel of Serenity",,,,,"C21",,,,,
1,"Angel of the Dawn",,,,,"CMR",,,,,
1,"Angel of the Dawn",,,,,"M19","7",,,,
1,"Angel of the Ruins",,,,,"C21",,,,,
1,"Angel's Grace",,,,,"TSR",,,,,
1,"Angel's Trumpet",,,,,"ULG",,,,,
