amount,card_name,is_foil,is_pinned,set_id,set_code,collector_number,language,condition,comment,added
1,"""Rumors of My Death . . .""",,,"","","","","","",""
1,"Abandoned Sarcophagus",,,"","C20","","","","",""
1,"Abandoned Sarcophagus",,,"","AKR","268","","","",""
1,"Abhorrent Overlord",,,"","","","","","",""
2,"Abomination of Llanowar",,,"","","","","","",""
3,"Abrade",,,"","AKR","136","","","",""
1,"Abrade",,,"","","","","","",""
1,"Abrupt Decay",,,"","GK1","57","","","",""
1,"Absorb Identity",,,"","","","","","",""
1,"Absorb Vis",,,"","","","","","",""
1,"Abstract Iguanart",,,"","UND","","","","",""
1,"Abundance",,,"","","","","","",""
1,"Abundance",,,"","","","","","",""
1,"Abundant Growth",,,"","","","","","",""
1,"Abyssal Persecutor",,,"","","","","","",""
1,"Abzan Ascendancy",,,"","C20","","","","",""
1,"Abzan Banner",,,"","","","","","",""
1,"Abzan Charm",,,"","C20","","","","",""
1,"Abzan Charm",,,"","","","","","",""
1,"Abzan Falconer",,,"","","","","","",""
2,"Abzan Falconer",,,"","","","","","",""
1,"Abzan Guide",,,"","","","","","",""
1,"Academic Dispute",,,"","","","","","",""
1,"Academy Elite",,,"","","","","","",""
1,"Academy Journeymage",,,"","","","","","",""
1,"Accelerate",,,"","","","","","",""
3,"Access Tunnel",,,"","","","","","",""
1,"Accomplished Automaton",,,"","KLD","191","","","",""
1,"Accursed Horde",,,"","","","","","",""
1,"Accursed Spirit",,,"","","","","","",""
1,"Acidic Slime",,,"","","","","","",""
1,"Acidic Slime",,,"","C20","","","","",""
5,"Acidic Slime",,,"","","","","","",""
1,"Acidic Slime",,,"","ZNC","","","","",""
1,"Acolyte of Affliction",,,"","","","","","",""
1,"Acolyte's Reward",,,"","","","","","",""
1,"Acornelia, Fashionable Filcher",,,"","UND","","","","",""
1,"Acquisitions Expert",,,"","","","","","",""
3,"Acrobatic Maneuver",,,"","","","","","",""
2,"Act of Heroism",,,"","","","","","",""
4,"Act of Treason",,,"","","","","","",""
1,"Adamant Will",,,"","","","","","",""
1,"Adanto Vanguard",,,"","","","","","",""
1,"Adaptive Automaton",,,"","E02","42","","","",""
1,"Adarkar Valkyrie",,,"","","","","","",""
2,"Adeliz, the Cinder Wind",,,"","","","","","",""
1,"Admonition Angel",,,"","","","","","",""
1,"Adorable Kitten",,,"","UND","","","","",""
1,"Adorable Kitten",,,"","","","","","",""
1,"Adorned Pouncer",,,"","","","","","",""
1,"Adriana, Captain of the Guard",,,"","C20","","","","",""
1,"Adrix and Nev, Twincasters",,,"","","","","","",""
1,"Advent of the Wurm",,,"","","","","","",""
4,"Adventurous Impulse",,,"","","","","","",""
1,"Aegar, the Freezing Flame",,,"","","","","","",""
1,"Aegis Angel",,,"","","","","","",""
1,"Aegis of the Gods",,,"","","","","","",""
1,"Aeon Chronicler",,,"","C16","82","","","",""
1,"Aeon Engine",,,"","","","","","",""
1,"Aerial Responder",,,"","C20","","","","",""
1,"Aerial Responder",,,"","","","","","",""
1,"Aerie Mystics",,,"","","","","","",""
1,"Aesi, Tyrant of Gyre Strait",,,"","CMR","","","","",""
1,"Aether Gale",,,"","","","","","",""
1,"Aether Gale",,,"","C18","80","","","",""
1,"Aether Helix",,,"","","","","","",""
2,"Aether Hub",,,"","","","","","",""
1,"Aether Spellbomb",,,"","","","","","",""
2,"Aether Tradewinds",,,"","","","","","",""
1,"Aetherflux Reservoir",,,"","","","","","",""
1,"Aetherize",,,"","","","","","",""
1,"Aethermage's Touch",,,"","","","","","",""
1,"Aethersnipe",,,"","","","","","",""
1,"Aethersphere Harvester",,,"","","","","","",""
1,"Aetherspouts",,,"","","","","","",""
1,"Agadeem Occultist",,,"","","","","","",""
1,"Agadeem's Awakening // Agadeem, the Undercrypt",,,"","","","","","",""
1,"Ageless Entity",,,"","","","","","",""
1,"Agent of Acquisitions",,,"","","","","","",""
1,"Aggressive Mammoth",,,"","","","","","",""
1,"Aggressive Mining",,,"","","","","","",""
1,"Aggressive Urge",,,"","","","","","",""
1,"Agitator Ant",,,"","C20","","","","",""
3,"Agonizing Remorse",,,"","","","","","",""
1,"Agony Warp",,,"","","","","","",""
1,"Agrus Kos, Wojek Veteran",,,"","","","","","",""
1,"Ahn-Crop Champion",,,"","AKR","226","","","",""
1,"Ahn-Crop Invader",,,"","","","","","",""
3,"Aid the Fallen",,,"","","","","","",""
2,"Aim High",,,"","","","","","",""
3,"Ainok Survivalist",,,"","","","","","",""
1,"Air Servant",,,"","","","","","",""
1,"Ajani Unyielding",,,"","C20","","","","",""
1,"Ajani, Adversary of Tyrants",,,"","","","","","",""
1,"Ajani, the Greathearted",,,"","","","","","",""
1,"Ajani's Chosen",,,"","","","","","",""
1,"Ajani's Presence",,,"","","","","","",""
3,"Ajani's Pridemate",,,"","WAR","4","","","",""
1,"Ajani's Welcome",,,"","","","","","",""
1,"Akim, the Soaring Wind",,,"","C20","","","","",""
1,"Akoum Hellhound",,,"","","","","","",""
4,"Akoum Refuge",,,"","","","","","",""
1,"Akoum Warrior // Akoum Teeth",,,"","","","","","",""
3,"Akroan Crusader",,,"","","","","","",""
2,"Akroan Hoplite",,,"","","","","","",""
1,"Akroan Horse",,,"","","","","","",""
1,"Akroan Sergeant",,,"","","","","","",""
1,"Akroma, Angel of Fury",,,"","A25","119","","","",""
1,"Akroma, Angel of Wrath",,,"","","","","","",""
1,"Akroma, Angel of Wrath",,,"","C20","","","","",""
1,"Akroma, Vision of Ixidor",,,"","","","","","",""
2,"Akroma's Vengeance",,,"","","","","","",""
1,"Akroma's Vengeance",,,"","C20","","","","",""
1,"Alabaster Mage",,,"","","","","","",""
1,"Alchemist's Gift",,,"","","","","","",""
1,"Alchemist's Greeting",,,"","","","","","",""
2,"Alchemist's Refuge",,,"","","","","","",""
1,"Alchemist's Vial",,,"","","","","","",""
1,"Aleatory",,,"","","","","","",""
1,"Alela, Artful Provocateur",,,"","ELD","","","","",""
1,"Alena, Kessig Trapper",,,"","","","","","",""
1,"Alesha, Who Smiles at Death",,,"","C20","","","","",""
1,"Alesha, Who Smiles at Death",,,"","C20","143","","","",""
1,"Alexander Clamilton",,,"","UND","","","","",""
1,"Alexi, Zephyr Mage",,,"","","","","","",""
1,"Alexi's Cloak",,,"","","","","","",""
1,"Alhammarret's Archive",,,"","","","","","",""
1,"Alhammarret's Archive",,,"","ORI","221","","","",""
1,"Alharu, Solemn Ritualist",,,"","","","","","",""
1,"Alibou, Ancient Witness",,,"","","","","","",""
1,"Alirios, Enraptured",,,"","","","","","",""
1,"All Is Dust",,,"","","","","","",""
1,"All That Glitters",,,"","ELD","","","","",""
1,"Alley Evasion",,,"","","","","","",""
1,"Allied Assault",,,"","","","","","",""
4,"Allied Strategies",,,"","","","","","",""
2,"Alloy Myr",,,"","","","","","",""
1,"Allure of the Unknown",,,"","","","","","",""
1,"Alms of the Vein",,,"","","","","","",""
1,"Alpha Brawl",,,"","","","","","",""
2,"Alpine Meadow",,,"","","","","","",""
1,"Alseid of Life's Bounty",,,"","","","","","",""
1,"Altar of Dementia",,,"","","","","","",""
1,"Altar of the Brood",,,"","","","","","",""
2,"Altar of the Pantheon",,,"","","","","","",""
2,"Altar's Reap",,,"","","","","","",""
1,"Altered Ego",,,"","","","","","",""
2,"Amaranthine Wall",,,"","","","","","",""
1,"Amareth, the Lustrous",,,"","","","","","",""
1,"Ambassador Oak",,,"","","","","","",""
1,"Ambition's Cost",,,"","","","","","",""
1,"Ambition's Cost",,,"","KHC","47","","","",""
2,"Ambition's Cost",,,"","C20","129","","","",""
1,"Ambition's Cost",,,"","C20","","","","",""
1,"Ambuscade Shaman",,,"","","","","","",""
1,"Ambush Viper",,,"","","","","","",""
1,"Aminatou, the Fateshifter",,,"","C18","","","","",""
1,"Aminatou's Augury",,,"","","","","","",""
1,"Amorphous Axe",,,"","","","","","",""
1,"Ampryn Tactician",,,"","","","","","",""
1,"Amulet of Vigor",,,"","","","","","",""
1,"Anaba Shaman",,,"","","","","","",""
1,"Anara, Wolvid Familiar",,,"","","","","","",""
1,"Anathemancer",,,"","","","","","",""
1,"Anax and Cymede",,,"","","","","","",""
1,"Anax, Hardened in the Forge",,,"","PLIST","123","","","",""
1,"Ancestor's Chosen",,,"","","","","","",""
1,"Ancestral Blade",,,"","M20","3","","","",""
1,"Ancestral Blade",,,"","ELD","","","","",""
1,"Ancestral Blade",,,"","","","","","",""
1,"Ancient Amphitheater",,,"","","","","","",""
1,"Ancient Animus",,,"","","","","","",""
1,"Ancient Animus",,,"","DOM","154","","","",""
1,"Ancient Craving",,,"","","","","","",""
1,"Ancient Den",,,"","","","","","",""
5,"Ancient Den",,,"","MRD","278","","","",""
1,"Ancient Excavation",,,"","","","","","",""
1,"Ancient Grudge",,,"","MM3","88","","","",""
1,"Ancient Stirrings",,,"","A25","159","","","",""
1,"Ancient Stone Idol",,,"","","","","","",""
1,"Ancient Tomb",,,"","","","","","",""
1,"Angel of Despair",,,"","GPT","","","","",""
1,"Angel of Destiny",,,"","","","","","",""
1,"Angel of Finality",,,"","C20","","","","",""
1,"Angel of Finality",,,"","C20","75","","","",""
1,"Angel of Finality",,,"","","","","","",""
1,"Angel of Sanctions",,,"","AKR","1","","","",""
1,"Angel of Serenity",,,"","CM2","16","","","",""
1,"Angel of Serenity",,,"","KHC","18","","","",""
1,"Angel of Serenity",,,"","","","","","",""
1,"Angel of the Dawn",,,"","","","","","",""
1,"Angel of the Dawn",,,"","M19","7","","","",""
1,"Angel of the Ruins",,,"","","","","","",""
1,"Angelheart Protector",,,"","","","","","",""
1,"Angelic Armaments",,,"","","","","","",""
1,"Angelic Ascension",,,"","","","","","",""
1,"Angelic Chorus",,,"","","","","","",""
1,"Angelic Exaltation",,,"","ELD","","","","",""
1,"Angelic Gift",,,"","","","","","",""
3,"Angelic Gift",,,"","M20","5","","","",""
1,"Angelic Purge",,,"","","","","","",""
2,"Angelic Renewal",,,"","","","","","",""
1,"Angelsong",,,"","","","","","",""
5,"Anger",,,"","","","","","",""
1,"Angler Turtle",,,"","","","","","",""
1,"Angrath, Captain of Chaos",,,"","PLIST","234","","","",""
1,"Angrath's Marauders",,,"","","","","","",""
1,"Angrath's Rampage",,,"","","","","","",""
1,"Animar, Soul of Elements",,,"","","","","","",""
2,"Animate Dead",,,"","","","","","",""
1,"Animate Library",,,"","","","","","",""
1,"Animating Faerie // Bring to Life",,,"","ELD","","","","",""
1,"Animist's Awakening",,,"","C20","","","","",""
1,"Animist's Awakening",,,"","","","","","",""
1,"Anje Falkenrath",,,"","","","","","",""
1,"Anje's Ravager",,,"","","","","","",""
1,"Ankh of Mishra",,,"","VMA","263","","","",""
2,"Annihilate",,,"","","","","","",""
1,"Annihilating Fire",,,"","","","","","",""
1,"Annoyed Altisaur",,,"","","","","","",""
1,"Annul",,,"","","","","","",""
1,"Anointed Chorister",,,"","","","","","",""
1,"Anointer of Valor",,,"","","","","","",""
3,"Anointer Priest",,,"","PLIST","7","","","",""
2,"Anowon, the Ruin Sage",,,"","","","","","",""
1,"Anowon, the Ruin Thief",,,"","","","","","",""
1,"Answered Prayers",,,"","","","","","",""
1,"Anthem of Rakdos",,,"","","","","","",""
1,"Anticipate",,,"","","","","","",""
2,"Anticognition",,,"","","","","","",""
1,"Anvilwrought Raptor",,,"","","","","","",""
1,"Anya, Merciless Angel",,,"","","","","","",""
1,"Apex Altisaur",,,"","","","","","",""
1,"Apex Devastator",,,"","","","","","",""
1,"Apex Hawks",,,"","","","","","",""
1,"Apex of Power",,,"","M19","129","","","",""
1,"Apex of Power",,,"","","","","","",""
1,"Aphemia, the Cacophony",,,"","","","","","",""
1,"Aphotic Wisps",,,"","","","","","",""
1,"Apocalypse Demon",,,"","","","","","",""
1,"Apocalypse Hydra",,,"","","","","","",""
9,"Apostle's Blessing",,,"","","","","","",""
1,"Apothecary Geist",,,"","","","","","",""
1,"Appeal // Authority",,,"","AKR","227","","","",""
1,"Appetite for the Unnatural",,,"","","","","","",""
2,"Applied Biomancy",,,"","","","","","",""
1,"Apprentice Necromancer",,,"","","","","","",""
1,"Apprentice Wizard",,,"","4ED","61","","","",""
2,"Approach of the Second Sun",,,"","AKR","4","","","",""
1,"Approach of the Second Sun",,,"","","","","","",""
1,"Aquastrand Spider",,,"","","","","","",""
1,"Aquatic Incursion",,,"","","","","","",""
1,"Aqueous Form",,,"","","","","","",""
1,"Arachnoform",,,"","","","","","",""
1,"Arachnus Spinner",,,"","","","","","",""
1,"Arachnus Web",,,"","","","","","",""
1,"Arahbo, Roar of the World",,,"","","","","","",""
1,"Arashi, the Sky Asunder",,,"","","","","","",""
1,"Arashin Foremost",,,"","","","","","",""
1,"Arashin Sovereign",,,"","","","","","",""
1,"Arasta of the Endless Web",,,"","","","","","",""
1,"Araumi of the Dead Tide",,,"","","","","","",""
1,"Arbiter of Knollridge",,,"","","","","","",""
1,"Arbor Armament",,,"","","","","","",""
2,"Arbor Elf",,,"","","","","","",""
2,"Arboreal Grazer",,,"","","","","","",""
1,"Arcane Adaptation",,,"","","","","","",""
1,"Arcane Artisan",,,"","","","","","",""
1,"Arcane Artisan",,,"","BBD","33","","","",""
1,"Arcane Denial",,,"","CMR","","","","",""
4,"Arcane Denial",,,"","A25","41","","","(Sword)",""
1,"Arcane Encyclopedia",,,"","","","","","",""
1,"Arcane Laboratory",,,"","","","","","",""
2,"Arcane Lighthouse",,,"","","","","","",""
3,"Arcane Sanctum",,,"","","","","","",""
1,"Arcane Signet",,,"","","","","","",""
